isBad_30,CityId,cashTotalAmt,cashTotalCnt,education,idVerify,inCourt,maritalStatus,monthCardLargeAmt,netLength,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,threeVerify,transTotalAmt,transTotalCnt,transCnt_mean,transCnt_non_null_months,transAmt_mean,transAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashAmt_mean,cashAmt_non_null_months,isDue,isCrime,isBlackList,Han,age,sex,card_age
0,其它,22500.0,7.0,初中,一致,0,未婚,1300.0,12-24个月,0.85,0.0,0.0,0.0,0.0,不一致,1300.0,3.0,0.75,4.0,325.0,4.0,1.75,4.0,5625.0,4.0,0.0,0.0,0.0,0.0,28.0,男,27.0
1,其它,,,小学,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,33.0,男,0.0
1,其它,,,小学,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,33.0,男,0.0
0,其它,,,初中,一致,1,离婚,28380.0,24 个月以上,0.96,0.0,0.0,0.0,0.0,一致,28380.0,1.0,0.5,2.0,14190.0,2.0,,,,,0.0,0.0,0.0,1.0,30.0,男,23.0
0,其它,,,初中,一致,0,已婚,500.0,24 个月以上,0.94,0.0,0.0,0.0,0.0,一致,500.0,3.0,1.0,3.0,166.66666666666666,3.0,,,,,0.0,0.0,0.0,1.0,36.0,男,-1.0
0,一线城市,,,本科以上,一致,0,未婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,25.0,女,18.0
1,其它,9700.0,5.0,Missing,一致,0,未说明,7270.0,12-24个月,0.88,0.0,0.0,0.0,0.0,不一致,13370.0,6.0,1.2,5.0,2672.0,5.0,5.0,1.0,9700.0,1.0,0.0,0.0,0.0,1.0,27.0,男,-3.0
1,其它,9700.0,5.0,Missing,一致,0,未说明,7270.0,12-24个月,0.88,0.0,0.0,0.0,0.0,不一致,13370.0,6.0,1.2,5.0,2672.0,5.0,5.0,1.0,9700.0,1.0,0.0,0.0,0.0,1.0,27.0,男,-3.0
0,其它,13000.0,10.0,初中,一致,0,未婚,2990.0,12-24个月,0.83,0.0,1.0,0.0,1.0,不一致,4770.0,4.0,0.8,5.0,952.0,5.0,2.5,4.0,3250.0,4.0,0.0,0.0,0.0,1.0,34.0,男,-2.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,40.0,女,4.0
0,其它,,,初中,一致,0,未说明,0.0,24 个月以上,0.87,0.0,1.0,0.0,1.0,无记录,0.0,0.0,0.0,5.0,0.0,5.0,,,,,0.0,0.0,0.0,1.0,30.0,男,1.0
0,二线城市,,,专科,一致,0,已婚,,,,,,,,无记录,,,,,,,,,,,0.0,0.0,0.0,1.0,29.0,女,-1.0
1,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,不一致,,,,,,,,,,,0.0,0.0,0.0,1.0,39.0,女,3.0
0,其它,300.0,1.0,初中,一致,0,未婚,300.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,300.0,1.0,1.0,1.0,300.0,1.0,1.0,1.0,300.0,1.0,0.0,0.0,0.0,1.0,26.0,男,1.0
0,其它,15900.0,9.0,初中,一致,1,已婚,3100.0,24 个月以上,0.83,0.0,0.0,20.0,1.0,一致,4240.0,6.0,1.2,5.0,846.0,5.0,3.0,3.0,5300.0,3.0,0.0,0.0,0.0,1.0,33.0,男,59.0
0,其它,16000.0,6.0,小学,一致,0,未婚,1000.0,24 个月以上,0.79,230.0,5.0,0.0,0.0,一致,1430.0,7.0,0.875,8.0,177.5,8.0,1.5,4.0,4000.0,4.0,0.0,0.0,0.0,1.0,23.0,男,18.0
1,其它,,,小学,一致,0,未婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,无记录,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,34.0,女,-8.0
1,其它,,,小学,一致,0,未婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,无记录,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,34.0,女,-8.0
1,其它,,,高中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,1.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,25.0,男,-10.0
0,其它,,,专科,一致,0,未婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,0.0,32.0,男,0.0
1,其它,,,初中,一致,1,未婚,,24 个月以上,,,,,,无记录,,,,,,,,,,,0.0,0.0,0.0,0.0,29.0,男,-1.0
0,其它,,,Missing,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,32.0,女,0.0
0,其它,21000.0,5.0,初中,一致,0,已婚,4820.0,24 个月以上,0.73,0.0,0.0,0.0,0.0,一致,5520.0,10.0,1.6666666666666667,6.0,920.0,6.0,1.25,4.0,5250.0,4.0,0.0,0.0,0.0,1.0,36.0,男,-2.0
0,其它,,,初中,一致,0,未婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,28.0,男,-5.0
0,其它,,,初中,一致,0,已婚,190.0,24 个月以上,0.9,0.0,0.0,0.0,0.0,一致,430.0,5.0,1.6666666666666667,3.0,143.33333333333334,3.0,,,,,0.0,0.0,0.0,1.0,42.0,男,-2.0
0,其它,11800.0,7.0,小学,一致,0,已婚,1120.0,24 个月以上,0.83,0.0,0.0,0.0,0.0,一致,2880.0,12.0,2.4,5.0,576.0,5.0,2.333333333333333,3.0,3933.333333333334,3.0,0.0,0.0,0.0,1.0,31.0,女,15.0
