字段代码,字段中文名,缺失数量,缺失率(%)
CityId,城市级别,0,0
cashTotalAmt,总取现金额,10013,57.2
cashTotalCnt,总取现笔数,10013,57.2
education,文化程度,16826,96.1
idVerify,身份验证,16792,95.9
inCourt,法院失信传唤记录,0,0
maritalStatus,婚姻状况,16847,96.2
monthCardLargeAmt,月最大消费金额,5642,32.2
netLength,在网时长,3408,19.5
noTransWeekPre,年无消费周数占比,5400,30.8
onlineTransAmt,网银消费金额,5372,30.7
onlineTransCnt,网银消费笔数,5372,30.7
publicPayAmt,公共消费支出金额,5372,30.7
publicPayCnt,公共消费支出笔数,5372,30.7
threeVerify,三要素验证,1707,9.75
transTotalAmt,总消费金额,5642,32.2
transTotalCnt,总消费笔数,5642,32.2
transCnt_mean,最近12个月消费笔数均值,4656,26.6
transCnt_non_null_months,最近12个月消费笔数记录月数,4656,26.6
transAmt_mean,最近12个月消费金额均值,4656,26.6
transAmt_non_null_months,最近12个月消费金额记录月数,4656,26.6
cashCnt_mean,最近12个月取现笔数均值,4656,26.6
cashCnt_non_null_months,最近12个月有取现笔数记录月数,4656,26.6
cashAmt_mean,最近12个月取现金额均值,4656,26.6
cashAmt_non_null_months,最近12个月有取现金额记录月数,4656,26.6
isDue,有无逾期记录,17507,99.9
isCrime,有无犯罪记录,0,0
isBlackList,黑名单信息接口查询记录,0,0
Han,民族,16792,95.9
age,年龄,101,0.577
sex,性别,16792,95.9
card_age,开卡时间距离授信申请月数,4818,27.5
